genes	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
h1f0	1	0	-6.25341186019394	0.154	0.959	0
histh1l	1	0	-5.71832204467757	0.36	0.997	0
h1fx	1	0	-4.98763001536753	0.171	0.772	0
h2afx1	1	0	-2.53714451154245	0.759	0.994	0
cirbpb	1	3.32507950925357e-236	-1.15769870132837	0.987	1	7.88509354824392e-232
hist2h2l	1	2.38615550236525e-232	-2.71116168143949	0.284	0.79	5.65852915830895e-228
nfil3-5	1	6.42122702239212e-221	-2.95219671563286	0.161	0.624	1.52272977609007e-216
hsp90aa1.2	1	5.35898871568457e-220	2.04342353272505	0.982	0.858	1.27083058403744e-215
hspa4a	1	7.37710239584547e-215	1.98888985022249	0.935	0.714	1.7494060621508e-210
si:dkey-262k9.2	1	2.20882321028105e-211	-5.597805725343	0.023	0.342	5.23800336086049e-207
lcp1	1	3.63469929551401e-205	-3.9004566618214	0.045	0.402	8.61932590938192e-201
zgc:110425	1	4.06352724826723e-196	-2.65193563184356	0.038	0.381	9.6362485165409e-192
hmgb1a	1	9.38355198503627e-195	-2.06266349690928	0.31	0.786	2.2252155177315e-190
zgc:153409	1	1.72839041026794e-187	-1.52454885760825	0.614	0.936	4.09870501890939e-183
her12	1	3.87869047465154e-184	-3.63258166791304	0.128	0.528	9.19792659158866e-180
CR936442.1	1	9.10156335558754e-173	-5.50247188838758	0.012	0.264	2.15834473414403e-168
phlda2	1	3.45155616271771e-167	-1.65580242051312	0.653	0.95	8.18502028426878e-163
her15.1	1	1.34435159226893e-156	-2.38028340517694	0.305	0.751	3.18799536590655e-152
psmd3	1	2.45438048976315e-153	-1.78806053786373	0.311	0.73	5.82031789342432e-149
psmd8	1	4.93406560276651e-153	-1.86071363168826	0.21	0.633	1.17006431704005e-148
pdcd4b	1	1.09854578931498e-151	2.19849799509342	0.747	0.401	2.60509148478154e-147
psma3	1	3.93373148807482e-147	-1.53972805804554	0.386	0.796	9.32845085082062e-143
brdt	1	5.04272507526078e-147	2.0800160267508	0.737	0.393	1.19583182434734e-142
psma4	1	1.30316310833105e-145	-1.69572739727849	0.348	0.761	3.09032099509625e-141
ost4	1	4.28578099372642e-143	-1.84566254093486	0.237	0.648	1.01633010485228e-138
hmgb2a	1	1.15356308409451e-141	-1.19082307896202	0.654	0.95	2.73555949762173e-137
odc1	1	2.28876383546926e-141	-1.90936438577232	0.247	0.66	5.42757455943181e-137
cyp1a	1	8.47414163944608e-140	3.08407977200625	0.81	0.597	2.00955794837824e-135
pomp	1	1.47409767421765e-139	-1.39735451456856	0.455	0.846	3.49567522463975e-135
fxyd6l	1	5.05624757014509e-139	-2.34205892754941	0.316	0.653	1.19903854878421e-134
